,状況,打順,打者,結果,アウト,裏得点,表得点,イニング,表裏,攻撃チーム
0,0000,1,モンカダ,右安打,0,0,0,1,表,Wソックス
1,0100,2,アンダーソン,三ライナー,1,0,0,1,表,Wソックス
2,1100,3,アブレイユ,三ゴロ,2,0,0,1,表,Wソックス
3,2001,4,デビッドソン,四球,2,0,0,1,表,Wソックス
4,2101,5,デルモニコ,空振り三振,3,0,0,1,表,Wソックス
5,0000,1,パーム,左本塁打,0,1,0,1,裏,カージナルス
6,0000,2,カーペンター,見逃し三振,1,1,0,1,裏,カージナルス
7,1000,3,Jマルティネス,三ゴロ,2,1,0,1,裏,カージナルス
8,2000,4,オズナ,三フライ,3,1,0,1,裏,カージナルス
9,0000,6,カスティーヨ,三ライナー,1,1,0,2,表,Wソックス
10,1000,7,トンプソン,一邪飛,2,1,0,2,表,Wソックス
11,2000,8,エンゲル,左安打,2,1,0,2,表,Wソックス
12,2100,9,シールズ,空振り三振,3,1,0,2,表,Wソックス
13,0000,5,モリーナ,遊ゴロ,1,1,0,2,裏,カージナルス
14,1000,6,ファウラー,二ゴロ,2,1,0,2,裏,カージナルス
15,2000,7,デヨング,一ゴロ,3,1,0,2,裏,カージナルス
16,0000,1,モンカダ,三ゴロ,1,1,0,3,表,Wソックス
17,1000,2,アンダーソン,三ゴロ,2,1,0,3,表,Wソックス
18,2000,3,アブレイユ,左安打,2,1,0,3,表,Wソックス
19,2100,4,デビッドソン,中安打,2,1,0,3,表,Wソックス
20,2110,5,デルモニコ,中フライ,3,1,0,3,表,Wソックス
21,0000,8,ウォン,左フライ,1,1,0,3,裏,カージナルス
22,1000,9,ワカ,右フライ,2,1,0,3,裏,カージナルス
23,2000,1,パーム,空振り三振,3,1,0,3,裏,カージナルス
24,0000,6,カスティーヨ,左フライ,1,1,0,4,表,Wソックス
25,1000,7,トンプソン,四球,1,1,0,4,表,Wソックス
26,1100,8,エンゲル,四球,1,1,0,4,表,Wソックス
27,1110,9,シールズ,空振り三振,2,1,0,4,表,Wソックス
28,2011,1,モンカダ,左二塁打,2,1,2,4,表,Wソックス
29,2010,2,アンダーソン,二フライ,3,1,2,4,表,Wソックス
30,0000,2,カーペンター,見逃し三振,1,1,2,4,裏,カージナルス
31,1000,3,Jマルティネス,一ライナー,2,1,2,4,裏,カージナルス
32,2000,4,オズナ,遊ゴロ,3,1,2,4,裏,カージナルス
33,0000,3,アブレイユ,中フライ,1,1,2,5,表,Wソックス
34,1000,4,デビッドソン,中フライ,2,1,2,5,表,Wソックス
35,2000,5,デルモニコ,二ゴロ,3,1,2,5,表,Wソックス
36,0000,5,モリーナ,三ゴロ,1,1,2,5,裏,カージナルス
37,1000,6,ファウラー,三邪飛,2,1,2,5,裏,カージナルス
38,2000,7,デヨング,右フライ,3,1,2,5,裏,カージナルス
39,0000,6,カスティーヨ,空振り三振,1,1,2,6,表,Wソックス
40,1000,7,トンプソン,遊ゴロ,2,1,2,6,表,Wソックス
41,2000,8,エンゲル,空振り三振,3,1,2,6,表,Wソックス
42,0000,8,ウォン,三安打,0,1,2,6,裏,カージナルス
43,0100,9,ガルシア,空振り三振,1,1,2,6,裏,カージナルス
44,1000,1,パーム,中ライナー,3,1,2,6,裏,カージナルス
45,0000,9,パルカ,二フライ,1,1,2,7,表,Wソックス
46,1000,1,モンカダ,三ゴロ,2,1,2,7,表,Wソックス
47,2000,2,アンダーソン,四球,2,1,2,7,表,Wソックス
48,2100,3,アブレイユ,中フライ,3,1,2,7,表,Wソックス
49,0000,2,カーペンター,右二塁打,0,1,2,7,裏,カージナルス
50,0010,3,Jマルティネス,中ライナー,1,1,2,7,裏,カージナルス
51,1001,4,オズナ,一ゴロ,2,1,2,7,裏,カージナルス
52,2010,5,モリーナ,遊安打,2,1,2,7,裏,カージナルス
53,2101,6,ファウラー,左フライ,3,1,2,7,裏,カージナルス
54,0000,4,デビッドソン,右フライ,1,1,2,8,表,Wソックス
55,1000,5,デルモニコ,左安打,1,1,2,8,表,Wソックス
56,1100,6,カスティーヨ,見逃し三振,2,1,2,8,表,Wソックス
57,2100,7,トンプソン,空振り三振,3,1,2,8,表,Wソックス
58,0000,7,デヨング,四球,0,1,2,8,裏,カージナルス
59,0100,8,ウォン,投犠打,1,1,2,8,裏,カージナルス
60,1010,9,ジャーコ,四球,1,1,2,8,裏,カージナルス
61,1110,1,パーム,三ゴロ併殺,3,1,2,8,裏,カージナルス
62,0000,8,エンゲル,投ゴロ,1,1,2,9,表,Wソックス
63,1000,9,Lガルシア,遊ゴロ,2,1,2,9,表,Wソックス
64,2000,1,モンカダ,中フライ,3,1,2,9,表,Wソックス
65,0000,2,カーペンター,中本塁打,0,2,2,9,裏,カージナルス
66,0000,3,Jマルティネス,空振り三振,1,2,2,9,裏,カージナルス
67,1000,4,オズナ,右二塁打,1,2,2,9,裏,カージナルス
68,1010,5,モリーナ,左安打,1,3,2,9,裏,カージナルス
