,状況,打順,打者,結果,アウト,裏得点,表得点,イニング,表裏,攻撃チーム
0,0000,1,ペレス,左安打,0,0,0,1,表,ブリュワーズ
1,0100,2,サンタナ,空振り三振,1,0,0,1,表,ブリュワーズ
2,1100,3,ブラウン,右フライ,2,0,0,1,表,ブリュワーズ
3,2100,4,ショー,二ゴロ,3,0,0,1,表,ブリュワーズ
4,0000,1,フレージャー,一ゴロ,1,0,0,1,裏,パイレーツ
5,1000,2,マルテ,左二塁打,1,0,0,1,裏,パイレーツ
6,1010,3,マカチェン,中フライ,2,0,0,1,裏,パイレーツ
7,2010,4,ベル,走塁死,3,0,0,1,裏,パイレーツ
8,0000,5,アギュラー,中本塁打,0,0,1,2,表,ブリュワーズ
9,0000,6,ピーナ,二ゴロ,1,0,1,2,表,ブリュワーズ
10,1000,7,ブロクストン,三ゴロ,2,0,1,2,表,ブリュワーズ
11,2000,8,アーシア,三ゴロ,3,0,1,2,表,ブリュワーズ
12,0000,4,ベル,二ゴロ,1,0,1,2,裏,パイレーツ
13,1000,5,フリース,遊ゴロ,2,0,1,2,裏,パイレーツ
14,2000,6,ラップロー,一邪飛,3,0,1,2,裏,パイレーツ
15,0000,9,ウィルカーソン,投ゴロ,1,0,1,3,表,ブリュワーズ
16,1000,1,ペレス,一邪飛,2,0,1,3,表,ブリュワーズ
17,2000,2,サンタナ,右本塁打,2,0,2,3,表,ブリュワーズ
18,2000,3,ブラウン,遊ゴロ,3,0,2,3,表,ブリュワーズ
19,0000,7,ディアス,中二塁打,0,0,2,3,裏,パイレーツ
20,0010,8,マーサー,四球,0,0,2,3,裏,パイレーツ
21,0110,9,ブロー,一ゴロ,1,0,2,3,裏,パイレーツ
22,1110,1,フレージャー,右三塁打,1,2,2,3,裏,パイレーツ
23,1001,2,マルテ,中安打,1,3,2,3,裏,パイレーツ
24,1000,3,マカチェン,二ライナー,3,3,2,3,裏,パイレーツ
25,0000,4,ショー,四球,0,3,2,4,表,ブリュワーズ
26,0100,5,アギュラー,遊ゴロ,1,3,2,4,表,ブリュワーズ
27,1010,6,ピーナ,中フライ,2,3,2,4,表,ブリュワーズ
28,2001,7,ブロクストン,空振り三振,3,3,2,4,表,ブリュワーズ
29,0000,4,ベル,投ゴロ,1,3,2,4,裏,パイレーツ
30,1000,5,フリース,一ゴロ,2,3,2,4,裏,パイレーツ
31,2000,6,ラップロー,空振り三振,3,3,2,4,裏,パイレーツ
32,0000,8,アーシア,中安打,0,3,2,5,表,ブリュワーズ
33,0100,9,ビラー,空振り三振,1,3,2,5,表,ブリュワーズ
34,1100,1,ペレス,遊ゴロ併殺,3,3,2,5,表,ブリュワーズ
35,0000,7,ディアス,投ゴロ,1,3,2,5,裏,パイレーツ
36,1000,8,マーサー,中安打,1,3,2,5,裏,パイレーツ
37,1100,9,ボスティック,四球,1,3,2,5,裏,パイレーツ
38,1110,1,フレージャー,遊失策,1,3,2,5,裏,パイレーツ
39,1111,2,マルテ,三ゴロ,2,3,2,5,裏,パイレーツ
40,2111,3,マカチェン,二ゴロ,3,3,2,5,裏,パイレーツ
41,0000,2,サンタナ,四球,0,3,2,6,表,ブリュワーズ
42,0100,3,ブラウン,空振り三振,1,3,2,6,表,ブリュワーズ
43,1100,4,ショー,捕ゴロ併殺,3,3,2,6,表,ブリュワーズ
44,0000,4,ベル,投ゴロ,1,3,2,6,裏,パイレーツ
45,1000,5,フリース,死球,1,3,2,6,裏,パイレーツ
46,1100,6,ラップロー,三ゴロ,2,3,2,6,裏,パイレーツ
47,2100,7,ディアス,遊ゴロ,3,3,2,6,裏,パイレーツ
48,0000,5,アギュラー,四球,0,3,2,7,表,ブリュワーズ
49,0000,6,ピーナ,四球,1,3,2,7,表,ブリュワーズ
50,1100,7,ウォーカー,四球,1,3,2,7,表,ブリュワーズ
51,1110,8,テムズ,左二塁打,1,3,3,7,表,ブリュワーズ
52,1011,9,ソガード,敬遠,1,3,3,7,表,ブリュワーズ
53,1111,1,ボート,四球,1,3,4,7,表,ブリュワーズ
54,1111,2,サンタナ,空振り三振,2,3,4,7,表,ブリュワーズ
55,2111,3,ブラウン,三フライ,3,3,4,7,表,ブリュワーズ
56,0000,8,マーサー,中ライナー,1,3,4,7,裏,パイレーツ
57,1000,9,ロドリゲス,空振り三振,2,3,4,7,裏,パイレーツ
58,2000,1,フレージャー,見逃し三振,3,3,4,7,裏,パイレーツ
59,0000,4,ショー,中二塁打,0,3,4,8,表,ブリュワーズ
60,0010,5,ベリー,捕ゴロ,1,3,4,8,表,ブリュワーズ
61,1010,6,ピーナ,空振り三振,2,3,4,8,表,ブリュワーズ
62,2010,7,ウォーカー,空振り三振,3,3,4,8,表,ブリュワーズ
63,0000,2,マルテ,投ゴロ,1,3,4,8,裏,パイレーツ
64,1000,3,マカチェン,左二塁打,1,3,4,8,裏,パイレーツ
65,1010,4,ベル,空振り三振,2,3,4,8,裏,パイレーツ
66,2010,5,フリース,遊安打,2,3,4,8,裏,パイレーツ
67,2100,6,ジェイソ,三邪飛,3,4,4,8,裏,パイレーツ
68,0000,8,テムズ,左フライ,1,4,4,9,表,ブリュワーズ
69,1000,9,ソガード,左安打,1,4,4,9,表,ブリュワーズ
70,1100,1,バンディ,空振り三振,2,4,4,9,表,ブリュワーズ
71,2100,2,サンタナ,四球,2,4,4,9,表,ブリュワーズ
72,2110,3,ブラウン,右フライ,3,4,4,9,表,ブリュワーズ
73,0000,7,ディアス,四球,0,4,4,9,裏,パイレーツ
74,0100,8,マーサー,中フライ,1,4,4,9,裏,パイレーツ
75,1100,9,ポランコ,左フライ,2,4,4,9,裏,パイレーツ
76,2100,1,フレージャー,右本塁打,2,6,4,9,裏,パイレーツ
