,状況,打順,打者,結果,アウト,裏得点,表得点,イニング,表裏,攻撃チーム
0,0000,1,ブラックモン,中ライナー,1,0,0,1,表,ロッキーズ
1,1000,2,ルメーヒュー,見逃し三振,2,0,0,1,表,ロッキーズ
2,2000,3,アレナド,中安打,2,0,0,1,表,ロッキーズ
3,2100,4,パーラ,二ゴロ,3,0,0,1,表,ロッキーズ
4,0000,1,メリフィールド,左本塁打,0,1,0,1,裏,ロイヤルズ
5,0000,2,ケーン,遊安打,0,1,0,1,裏,ロイヤルズ
6,0100,3,カブレラ,投ゴロ併殺,2,1,0,1,裏,ロイヤルズ
7,2000,4,ホスマー,中安打,2,1,0,1,裏,ロイヤルズ
8,2100,5,ボニファシオ,空振り三振,3,1,0,1,裏,ロイヤルズ
9,0000,5,ゴンザレス,二ゴロ,1,1,0,2,表,ロッキーズ
10,1000,6,バライカ,右ライナー,2,1,0,2,表,ロッキーズ
11,2000,7,タピア,中安打,2,1,0,2,表,ロッキーズ
12,2100,8,ストーリー,空振り三振,3,1,0,2,表,ロッキーズ
13,0000,6,モス,右本塁打,0,2,0,2,裏,ロイヤルズ
14,0000,7,エスコバル,投ゴロ,1,2,0,2,裏,ロイヤルズ
15,1000,8,カスバート,右安打,1,2,0,2,裏,ロイヤルズ
16,1100,9,ビュテラ,空振り三振,2,2,0,2,裏,ロイヤルズ
17,2100,1,メリフィールド,遊ゴロ,3,2,0,2,裏,ロイヤルズ
18,0000,9,ウォルターズ,右フライ,1,2,0,3,表,ロッキーズ
19,1000,1,ブラックモン,空振り三振,2,2,0,3,表,ロッキーズ
20,2000,2,ルメーヒュー,中安打,2,2,0,3,表,ロッキーズ
21,2100,3,アレナド,右安打,2,2,0,3,表,ロッキーズ
22,2101,4,パーラ,遊ゴロ,3,2,0,3,表,ロッキーズ
23,0000,2,ケーン,中安打,0,2,0,3,裏,ロイヤルズ
24,0100,3,カブレラ,三ゴロ併殺,2,2,0,3,裏,ロイヤルズ
25,2000,4,ホスマー,左フライ,3,2,0,3,裏,ロイヤルズ
26,0000,5,ゴンザレス,見逃し三振,1,2,0,4,表,ロッキーズ
27,1000,6,バライカ,空振り三振,2,2,0,4,表,ロッキーズ
28,2000,7,タピア,空振り三振,3,2,0,4,表,ロッキーズ
29,0000,5,ボニファシオ,遊ゴロ,1,2,0,4,裏,ロイヤルズ
30,1000,6,モス,四球,1,2,0,4,裏,ロイヤルズ
31,1100,7,エスコバル,遊ゴロ,2,2,0,4,裏,ロイヤルズ
32,2010,8,カスバート,四球,2,2,0,4,裏,ロイヤルズ
33,2110,9,ビュテラ,三ゴロ,3,2,0,4,裏,ロイヤルズ
34,0000,8,ストーリー,遊ゴロ,1,2,0,5,表,ロッキーズ
