,状況,打順,打者,結果,アウト,裏得点,表得点,イニング,表裏,攻撃チーム
104,1100,8,マンシーニ,右安打,1,8,9,12,表,オリオールズ
105,1101,9,ハーディ,遊ゴロ,2,8,10,12,表,オリオールズ
106,2100,1,スミス,中安打,2,8,10,12,表,オリオールズ
107,2110,2,Aジョーンズ,左安打,2,8,11,12,表,オリオールズ
108,2110,3,マチャド,右フライ,3,8,11,12,表,オリオールズ
109,0000,8,マキャン,左二塁打,0,8,11,12,裏,タイガース
110,0010,9,イグレシアス,二ゴロ,1,8,11,12,裏,タイガース
111,1001,1,キンズラー,中安打,1,9,11,12,裏,タイガース
112,1100,2,ロマイン,右安打,1,9,11,12,裏,タイガース
113,1110,3,カブレラ,右安打,1,10,11,12,裏,タイガース
114,1110,4,アビラ,中安打,1,11,11,12,裏,タイガース
115,1110,5,アップトン,遊ゴロ,2,11,11,12,裏,タイガース
116,2101,6,Jマルティネス,敬遠,2,11,11,12,裏,タイガース
117,2111,7,コリンズ,二ゴロ,3,11,11,12,裏,タイガース
118,0000,4,トランボ,右二塁打,0,11,11,13,表,オリオールズ
119,0001,5,デービス,右本塁打,0,11,13,13,表,オリオールズ
120,0000,6,フラーティ,空振り三振,1,11,13,13,表,オリオールズ
121,1000,7,カスティーヨ,四球,1,11,13,13,表,オリオールズ
122,1100,8,マンシーニ,三ゴロ,2,11,13,13,表,オリオールズ
123,2010,9,ハーディ,左フライ,3,11,13,13,表,オリオールズ
124,0000,8,マキャン,空振り三振,1,11,13,13,裏,タイガース
125,1000,9,イグレシアス,二ゴロ,2,11,13,13,裏,タイガース
126,2000,1,キンズラー,遊安打,2,11,13,13,裏,タイガース
127,2100,2,ロマイン,二ゴロ,3,11,13,13,裏,タイガース
