,状況,打順,打者,結果,アウト,裏得点,表得点,イニング,表裏,攻撃チーム
0,0000,1,ブラックモン,右安打,0,0,0,1,表,ロッキーズ
1,0100,2,ルメーヒュー,二フライ,1,0,0,1,表,ロッキーズ
2,1100,3,アレナド,中安打,1,0,0,1,表,ロッキーズ
3,1110,4,レイノルズ,中安打,1,0,1,1,表,ロッキーズ
4,1101,5,パーラ,一ゴロ併殺,3,0,1,1,表,ロッキーズ
5,0000,1,マーゴット,空振り三振,1,0,1,1,裏,パドレス
6,1000,2,アスアヘ,一ゴロ,2,0,1,1,裏,パドレス
7,2000,3,マイヤーズ,中本塁打,2,1,1,1,裏,パドレス
8,2000,4,ソラーテ,右本塁打,2,2,1,1,裏,パドレス
9,2000,5,ビヤヌエバ,見逃し三振,3,2,1,1,裏,パドレス
10,0000,6,デスモンド,四球,0,2,1,2,表,ロッキーズ
11,0000,7,ストーリー,右フライ,1,2,2,2,表,ロッキーズ
12,1000,8,ウォルターズ,二ゴロ,2,2,2,2,表,ロッキーズ
13,2000,9,マルケス,空振り三振,3,2,2,2,表,ロッキーズ
14,0000,6,スパンゲンバーグ,右二塁打,0,2,2,2,裏,パドレス
15,0010,7,ジャンコウスキー,四球,0,2,2,2,裏,パドレス
16,0010,8,ゲール,見逃し三振,2,2,2,2,裏,パドレス
17,2010,9,ペルドモ,一ゴロ,3,2,2,2,裏,パドレス
18,0000,1,ブラックモン,四球,0,2,2,3,表,ロッキーズ
19,0100,2,ルメーヒュー,中安打,0,2,2,3,表,ロッキーズ
20,0110,3,アレナド,三ライナー,1,2,2,3,表,ロッキーズ
21,1110,4,レイノルズ,右フライ,2,2,2,3,表,ロッキーズ
22,2110,5,パーラ,右安打,2,2,3,3,表,ロッキーズ
23,2101,6,デスモンド,三安打,2,2,4,3,表,ロッキーズ
24,2110,7,ストーリー,三ゴロ,3,2,4,3,表,ロッキーズ
25,0000,1,マーゴット,四球,0,2,4,3,裏,パドレス
26,0100,2,アスアヘ,二ゴロ併殺,2,2,4,3,裏,パドレス
27,2000,3,マイヤーズ,右二塁打,2,2,4,3,裏,パドレス
28,2010,4,ソラーテ,遊フライ,3,2,4,3,裏,パドレス
29,0000,8,ウォルターズ,一ゴロ,1,2,4,4,表,ロッキーズ
30,1000,9,マルケス,空振り三振,2,2,4,4,表,ロッキーズ
31,2000,1,ブラックモン,一ゴロ,3,2,4,4,表,ロッキーズ
32,0000,5,ビヤヌエバ,三ゴロ,1,2,4,4,裏,パドレス
33,1000,6,スパンゲンバーグ,四球,1,2,4,4,裏,パドレス
34,1100,7,ジャンコウスキー,中ライナー,2,2,4,4,裏,パドレス
35,2100,8,ゲール,中フライ,3,2,4,4,裏,パドレス
36,0000,2,ルメーヒュー,空振り三振,1,2,4,5,表,ロッキーズ
37,1000,3,アレナド,三ゴロ,2,2,4,5,表,ロッキーズ
38,2000,4,レイノルズ,空振り三振,3,2,4,5,表,ロッキーズ
39,0000,9,アイバー,一ゴロ,1,2,4,5,裏,パドレス
40,1000,1,マーゴット,右邪飛,2,2,4,5,裏,パドレス
41,2000,2,アスアヘ,右二塁打,2,2,4,5,裏,パドレス
42,2010,3,マイヤーズ,左フライ,3,2,4,5,裏,パドレス
43,0000,5,パーラ,中フライ,1,2,4,6,表,ロッキーズ
44,1000,6,デスモンド,中フライ,2,2,4,6,表,ロッキーズ
45,2000,7,ストーリー,中安打,2,2,4,6,表,ロッキーズ
46,2010,8,ウォルターズ,四球,2,2,4,6,表,ロッキーズ
47,2110,9,バライカ,中二塁打,2,2,5,6,表,ロッキーズ
48,2011,1,ブラックモン,中フライ,3,2,5,6,表,ロッキーズ
49,0000,4,ソラーテ,右安打,0,2,5,6,裏,パドレス
50,0100,5,ビヤヌエバ,左本塁打,0,4,5,6,裏,パドレス
51,0000,6,スパンゲンバーグ,左安打,0,4,5,6,裏,パドレス
52,0000,7,ジャンコウスキー,投ゴロ,2,4,5,6,裏,パドレス
53,2000,8,ゲール,左フライ,3,4,5,6,裏,パドレス
54,0000,2,ルメーヒュー,空振り三振,1,4,5,7,表,ロッキーズ
55,1000,3,トークマン,空振り三振,2,4,5,7,表,ロッキーズ
56,2000,4,レイノルズ,一邪飛,3,4,5,7,表,ロッキーズ
57,0000,9,アイバー,見逃し三振,1,4,5,7,裏,パドレス
58,1000,1,マーゴット,二ゴロ,2,4,5,7,裏,パドレス
59,2000,2,コルドバ,見逃し三振,3,4,5,7,裏,パドレス
60,0000,5,パーラ,空振り三振,1,4,5,8,表,ロッキーズ
61,1000,6,デスモンド,遊ゴロ,2,4,5,8,表,ロッキーズ
62,2000,7,ストーリー,空振り三振,3,4,5,8,表,ロッキーズ
63,0000,3,マイヤーズ,空振り三振,1,4,5,8,裏,パドレス
64,1000,4,ソラーテ,右フライ,2,4,5,8,裏,パドレス
65,2000,5,ビヤヌエバ,空振り三振,3,4,5,8,裏,パドレス
66,0000,8,ウォルターズ,中フライ,1,4,5,9,表,ロッキーズ
67,1000,9,バライカ,左本塁打,1,4,6,9,表,ロッキーズ
68,1000,1,ブラックモン,右本塁打,1,4,7,9,表,ロッキーズ
69,1000,2,ルメーヒュー,遊ゴロ,2,4,7,9,表,ロッキーズ
70,2000,3,ハニガン,左安打,2,4,7,9,表,ロッキーズ
71,2100,4,レイノルズ,左二塁打,2,4,8,9,表,ロッキーズ
72,2010,5,パーラ,左フライ,3,4,8,9,表,ロッキーズ
73,0000,6,スパンゲンバーグ,空振り三振,1,4,8,9,裏,パドレス
74,1000,7,シーザー,空振り三振,2,4,8,9,裏,パドレス
75,2000,8,サンチェス,空振り三振,3,4,8,9,裏,パドレス
