,状況,打順,打者,結果,アウト,裏得点,表得点,イニング,表裏,攻撃チーム
0,0000,1,ターナー,遊安打,0,0,0,1,表,ナショナルズ
1,0010,2,イートン,四球,0,0,0,1,表,ナショナルズ
2,0110,3,ハーパー,中フライ,1,0,0,1,表,ナショナルズ
3,1110,4,マーフィー,右安打,1,0,0,1,表,ナショナルズ
4,1111,5,ジマーマン,三ゴロ併殺,3,0,0,1,表,ナショナルズ
5,0000,1,ヘルナンデス,左二塁打,0,0,0,1,裏,フィリーズ
6,0010,2,ケンドリック,右安打,0,0,0,1,裏,フィリーズ
7,0011,3,ヘレラ,四球,0,0,0,1,裏,フィリーズ
8,0111,4,フランコ,右犠飛,1,1,0,1,裏,フィリーズ
9,1101,5,ソーンダース,右安打,1,2,0,1,裏,フィリーズ
10,1110,6,ジョセフ,中安打,1,3,0,1,裏,フィリーズ
11,1101,7,ラップ,四球,1,3,0,1,裏,フィリーズ
12,1111,8,ガルビス,中犠飛,2,4,0,1,裏,フィリーズ
13,2110,9,ノラ,四球,2,4,0,1,裏,フィリーズ
14,2111,1,ヘルナンデス,四球,2,5,0,1,裏,フィリーズ
15,2111,2,ケンドリック,右三塁打,2,8,0,1,裏,フィリーズ
16,2001,3,ヘレラ,遊安打,2,9,0,1,裏,フィリーズ
17,2100,4,フランコ,中二塁打,2,10,0,1,裏,フィリーズ
18,2010,5,ソーンダース,中二塁打,2,11,0,1,裏,フィリーズ
19,2010,6,ジョセフ,中安打,2,12,0,1,裏,フィリーズ
20,2100,7,ラップ,空振り三振,3,12,0,1,裏,フィリーズ
21,0000,6,ワース,空振り三振,1,12,0,2,表,ナショナルズ
22,1000,7,レンドン,見逃し三振,2,12,0,2,表,ナショナルズ
23,2000,8,ウィータース,空振り三振,3,12,0,2,表,ナショナルズ
24,0000,8,ガルビス,空振り三振,1,12,0,2,裏,フィリーズ
25,1000,9,ノラ,右安打,1,12,0,2,裏,フィリーズ
26,1100,1,ヘルナンデス,二失策,1,12,0,2,裏,フィリーズ
27,1110,2,ケンドリック,右ライナー,2,12,0,2,裏,フィリーズ
28,2110,3,ヘレラ,遊失策,2,13,0,2,裏,フィリーズ
29,2011,4,フランコ,三ゴロ,3,13,0,2,裏,フィリーズ
30,0000,9,ロメロ,空振り三振,1,13,0,3,表,ナショナルズ
31,1000,1,ディフォ,左フライ,2,13,0,3,表,ナショナルズ
32,2000,2,イートン,遊ゴロ,3,13,0,3,表,ナショナルズ
33,0000,5,ソーンダース,空振り三振,1,13,0,3,裏,フィリーズ
34,1000,6,ジョセフ,遊ゴロ,2,13,0,3,裏,フィリーズ
35,2000,7,ラップ,左ライナー,3,13,0,3,裏,フィリーズ
36,0000,3,ハーパー,見逃し三振,1,13,0,4,表,ナショナルズ
37,1000,4,マーフィー,左二塁打,1,13,0,4,表,ナショナルズ
38,1010,5,ジマーマン,二ゴロ,2,13,0,4,表,ナショナルズ
39,2001,6,ワース,左安打,2,13,1,4,表,ナショナルズ
40,2100,7,レンドン,空振り三振,3,13,1,4,表,ナショナルズ
41,0000,8,ガルビス,空振り三振,1,13,1,4,裏,フィリーズ
42,1000,9,ノラ,空振り三振,2,13,1,4,裏,フィリーズ
43,2000,1,ヘルナンデス,投ゴロ,3,13,1,4,裏,フィリーズ
44,0000,8,ウィータース,三ゴロ,1,13,1,5,表,ナショナルズ
45,1000,9,ブラントン,四球,1,13,1,5,表,ナショナルズ
46,1100,1,ディフォ,遊ゴロ併殺,3,13,1,5,表,ナショナルズ
47,0000,2,ケンドリック,右フライ,1,13,1,5,裏,フィリーズ
48,1000,3,ヘレラ,三ゴロ,2,13,1,5,裏,フィリーズ
49,2000,4,フランコ,二ライナー,3,13,1,5,裏,フィリーズ
50,0000,2,イートン,見逃し三振,1,13,1,6,表,ナショナルズ
51,1000,3,ハーパー,右安打,1,13,1,6,表,ナショナルズ
52,1100,4,マーフィー,右二塁打,1,13,1,6,表,ナショナルズ
53,1011,5,ジマーマン,遊ゴロ,2,13,2,6,表,ナショナルズ
54,2010,6,ワース,右安打,2,13,3,6,表,ナショナルズ
55,2000,5,ソーンダース,右三塁打,0,13,3,6,表,ナショナルズ
56,0001,6,ジョセフ,中犠飛,1,14,3,6,表,ナショナルズ
57,1000,7,ラップ,左ライナー,2,14,3,6,表,ナショナルズ
58,2000,8,ガルビス,空振り三振,3,14,3,6,表,ナショナルズ
59,0000,7,レンドン,三安打,0,14,3,6,裏,フィリーズ
60,0100,8,ウィータース,遊ライナー,1,14,3,6,裏,フィリーズ
61,1100,9,リンド,左フライ,2,14,3,6,裏,フィリーズ
62,2100,1,ディフォ,遊安打,2,14,3,6,裏,フィリーズ
63,2110,2,イートン,左フライ,3,14,3,6,裏,フィリーズ
64,0000,9,ブランコ,左本塁打,0,15,3,7,表,ナショナルズ
65,0000,1,ヘルナンデス,中三塁打,0,15,3,7,表,ナショナルズ
66,0001,2,ケンドリック,中安打,0,16,3,7,表,ナショナルズ
67,0100,3,ヘレラ,遊ゴロ併殺,2,16,3,7,表,ナショナルズ
68,2000,4,フランコ,空振り三振,3,16,3,7,表,ナショナルズ
69,0000,3,ハーパー,遊フライ,1,16,3,7,裏,フィリーズ
70,1000,4,マーフィー,空振り三振,2,16,3,7,裏,フィリーズ
71,2000,5,ヘイシー,投ゴロ,3,16,3,7,裏,フィリーズ
72,0000,5,ソーンダース,見逃し三振,1,16,3,8,表,ナショナルズ
73,1000,6,ジョセフ,空振り三振,2,16,3,8,表,ナショナルズ
74,2000,7,ラップ,右本塁打,2,17,3,8,表,ナショナルズ
75,2000,8,アルテール,四球,2,17,3,8,表,ナショナルズ
76,2100,9,ブランコ,空振り三振,3,17,3,8,表,ナショナルズ
77,0000,6,ドルー,空振り三振,1,17,3,8,裏,フィリーズ
78,1000,7,レンドン,中安打,1,17,3,8,裏,フィリーズ
79,1100,8,ウィータース,右フライ,2,17,3,8,裏,フィリーズ
80,2100,9,リンド,空振り三振,3,17,3,8,裏,フィリーズ
